DATE,RGMP45500
2001-01-01,4523.955
2002-01-01,4700.682
2003-01-01,4750.024
2004-01-01,5001.585
2005-01-01,5133.079
2006-01-01,5248.566
2007-01-01,5284.772
2008-01-01,5325.883
2009-01-01,5252.414
2010-01-01,5267.511
2011-01-01,5321.411
2012-01-01,5275.584
2013-01-01,5066.577
2014-01-01,4973.284
2015-01-01,4990.546
2016-01-01,5012.691
2017-01-01,4939.32
2018-01-01,4902.176
2019-01-01,4906.352
2020-01-01,4865.446
2021-01-01,4927.946
